year,country,artist,song,place_final,points_total,jury_points,tele_points,spotify_pop,yt_views_millions,youtube_url
2021,Portugal,The Black Mamba,Love Is On My Side,12.0,153.0,126.0,27.0,,,https://youtube.com/watch?v=qq9SceXaukA
2021,Russia,Manizha,Russian Woman,9.0,204.0,104.0,100.0,52.0,40.0,https://youtube.com/watch?v=V-Di9A28e5E
2021,San Marino,Senhit feat. Flo Rida,Adrenalina,22.0,50.0,37.0,13.0,,,
2021,Serbia,Hurricane,Loco,15.0,102.0,20.0,82.0,,,https://youtube.com/watch?v=Q1lkpIqf7a4
2021,Spain,Blas Cantó,Voy a quedarme,24.0,6.0,6.0,0.0,,,
2021,Sweden,Tusse,Voices,14.0,109.0,46.0,63.0,,,https://youtube.com/watch?v=NyJRyif6_kk
2021,Switzerland,Gjon's Tears,Tout l'univers,3.0,432.0,267.0,165.0,54.0,18.0,https://youtube.com/watch?v=jznH_fltcYA
2021,Ukraine,Go_A,Shum,5.0,364.0,97.0,267.0,58.0,40.0,https://youtube.com/watch?v=lqvzDkgok_g
2021,United Kingdom,James Newman,Embers,26.0,0.0,0.0,0.0,,,
2022,Armenia,Rosa Linn,Snap,20.0,61.0,40.0,21.0,,,
2022,Australia,Sheldon Riley,Not The Same,15.0,125.0,123.0,2.0,,,https://youtube.com/watch?v=wosfFz2FJPU
2022,Azerbaijan,Nadir Rustamli,Fade To Black,16.0,106.0,103.0,3.0,,,https://youtube.com/watch?v=tegPzHEL4ms
2022,Belgium,Jérémie Makiese,Miss You,19.0,64.0,59.0,5.0,,,https://youtube.com/watch?v=sB09advfF6E
2022,Czechia,We Are Domi,Lights Off,22.0,38.0,33.0,5.0,,,
2022,Estonia,Stefan,Hope,13.0,141.0,43.0,98.0,,,https://youtube.com/watch?v=GdTpQmMem8U
2022,Finland,The Rasmus,Jezebel,21.0,38.0,12.0,26.0,,,
2022,France,Alvan & Ahez,Fulenn,24.0,17.0,9.0,8.0,,,
2022,Germany,Malik Harris,Rockstars,25.0,6.0,0.0,6.0,,,
2022,Greece,Amanda Georgiadi Tenfjord,Die Together,8.0,215.0,158.0,57.0,,,https://youtube.com/watch?v=BWeT0nJpB3Y
2022,Iceland,Systur,Með hækkandi sól,23.0,20.0,10.0,10.0,,,
2022,Italy,Mahmood & Blanco,Brividi,6.0,268.0,158.0,110.0,72.0,140.0,https://youtube.com/watch?v=blEy4xHuMbY
2022,Lithuania,Monika Liu,Sentimentai,14.0,128.0,35.0,93.0,,,https://youtube.com/watch?v=BVqSTVJhD44
2022,Moldova,Zdob și Zdub & Advahov Brothers,Trenulețul,7.0,253.0,14.0,239.0,,,https://youtube.com/watch?v=DUqf_zO2QaI
2022,Netherlands,S10,De diepte,11.0,171.0,129.0,42.0,,,https://youtube.com/watch?v=sgOnu7ux2-k
2022,Norway,Subwoolfer,Give That Wolf a Banana,10.0,182.0,36.0,146.0,58.0,55.0,https://youtube.com/watch?v=adCU2rQyDeY
2022,Poland,Ochman,River,12.0,151.0,46.0,105.0,,,https://youtube.com/watch?v=jRVDZ6446eM
2022,Portugal,Maro,"Saudade, saudade",9.0,207.0,171.0,36.0,55.0,20.0,https://youtube.com/watch?v=mZtbD47u6yI
2022,Romania,WRS,Llámame,18.0,65.0,12.0,53.0,,,https://youtube.com/watch?v=nPpuwy79sHs
2022,Serbia,Konstrakta,In corpore sano,5.0,312.0,87.0,225.0,55.0,30.0,https://youtube.com/watch?v=nBtQj1MfNYA
2022,Spain,Chanel,SloMo,3.0,459.0,231.0,228.0,68.0,90.0,https://youtube.com/watch?v=jSQYTt4xg3I
2022,Sweden,Cornelia Jakobs,Hold Me Closer,4.0,438.0,258.0,180.0,60.0,28.0,https://youtube.com/watch?v=i777psA2gP4
2022,Switzerland,Marius Bear,Boys Do Cry,17.0,78.0,78.0,0.0,,,https://youtube.com/watch?v=hq2HCmHv5p4
2022,Ukraine,Kalush Orchestra,Stefania,1.0,631.0,192.0,439.0,70.0,200.0,https://youtube.com/watch?v=F1fl60ypdLs
2022,United Kingdom,Sam Ryder,Space Man,2.0,466.0,283.0,183.0,68.0,80.0,https://youtube.com/watch?v=RZ0hqX_92zI
2023,Albania,Albina & Familja Kelmendi,Duje,22.0,76.0,17.0,59.0,,,https://youtube.com/watch?v=TI9rSDhXwyc
2023,Armenia,Brunette,Future Lover,14.0,122.0,69.0,53.0,,,https://youtube.com/watch?v=h0q7AkYk2hY
2023,Australia,Voyager,Promise,9.0,151.0,130.0,21.0,55.0,18.0,https://youtube.com/watch?v=GSoy_mJMlMY
2023,Austria,Teya & Salena,Who The Hell Is Edgar?,15.0,120.0,104.0,16.0,,,https://youtube.com/watch?v=8uk64V9h0Ko
2023,Belgium,Gustaph,Because of You,7.0,182.0,127.0,55.0,55.0,15.0,https://youtube.com/watch?v=U1xD14IMKtg
2023,Croatia,Let 3,Mama ŠČ!,13.0,123.0,11.0,112.0,,,https://youtube.com/watch?v=hGuGfdEJ5Pw
2023,Cyprus,Andrew Lambrou,Break a Broken Heart,12.0,126.0,68.0,58.0,,,https://youtube.com/watch?v=49YiimKeyDI
2023,Czechia,Vesna,My Sister's Crown,10.0,129.0,94.0,35.0,52.0,15.0,https://youtube.com/watch?v=ag8qxpvTTy0
2023,Estonia,Alika,Bridges,8.0,168.0,146.0,22.0,52.0,12.0,https://youtube.com/watch?v=HsbC-OYMA3s
2023,Finland,Käärijä,Cha,2.0,526.0,150.0,376.0,,,https://youtube.com/watch?v=l6rS8Dv5g-8
2023,France,La Zarra,Évidemment,16.0,104.0,54.0,50.0,,,https://youtube.com/watch?v=fOtQJ4o-HoA
2023,Germany,Lord Of The Lost,Blood & Glitter,26.0,18.0,3.0,15.0,,,https://youtube.com/watch?v=dyGR4YWlPEs
2023,Israel,Noa Kirel,Unicorn,3.0,362.0,177.0,185.0,58.0,40.0,https://youtube.com/watch?v=Z3mIcCllJXY
2023,Italy,Marco Mengoni,Due vite,4.0,350.0,176.0,174.0,67.0,55.0,https://youtube.com/watch?v=d6IiOSut_4M
2023,Lithuania,Monika Linkytė,Stay,11.0,127.0,81.0,46.0,,,https://youtube.com/watch?v=QsgouAEd34U
2023,Moldova,Pasha Parfeni,Soarele și Luna,18.0,96.0,20.0,76.0,,,https://youtube.com/watch?v=SABOfYgGk8M
2023,Norway,Alessandra,Queen of Kings,5.0,268.0,52.0,216.0,69.0,80.0,https://youtube.com/watch?v=PUHSM_vTqTI
2023,Poland,Blanka,Solo,19.0,93.0,12.0,81.0,,,https://youtube.com/watch?v=SEgF1aP-U1o
2023,Portugal,Mimicat,Ai coração,23.0,59.0,43.0,16.0,,,https://youtube.com/watch?v=HYfkxX4PFyw
2023,Serbia,Luke Black,Samo mi se spava,24.0,30.0,14.0,16.0,,,https://youtube.com/watch?v=gPRfg9wzbpw
2023,Slovenia,Joker Out,Carpe Diem,21.0,78.0,33.0,45.0,,,https://youtube.com/watch?v=3LXlPviGiWc
2023,Spain,Blanca Paloma,Eaea,17.0,100.0,95.0,5.0,,,https://youtube.com/watch?v=Vw6qPWhjevk
2023,Sweden,Loreen,Tattoo,1.0,583.0,340.0,243.0,76.0,180.0,https://youtube.com/watch?v=BE2Fj0W4jP4
2023,Switzerland,Remo Forrer,Watergun,20.0,92.0,61.0,31.0,,,https://youtube.com/watch?v=l4NDErv49mk
2023,Ukraine,Tvorchi,Heart of Steel,6.0,243.0,54.0,189.0,57.0,32.0,https://youtube.com/watch?v=I2oqDpefJ1s
2023,United Kingdom,Mae Muller,I Wrote A Song,25.0,24.0,15.0,9.0,,,https://youtube.com/watch?v=tvJEE2ryCRQ
2024,Armenia,Ladaniva,Jako,8.0,183.0,101.0,82.0,,,https://youtube.com/watch?v=hAYXDoZzAyE
2024,Austria,Kaleen,We Will Rave,24.0,24.0,19.0,5.0,,,https://youtube.com/watch?v=VZ6SlZnk_EI
2024,Croatia,Baby Lasagna,Rim Tim Tagi Dim,2.0,547.0,210.0,337.0,,,https://youtube.com/watch?v=YIBjarAiAVc
2024,Cyprus,Silia Kapsis,Liar,15.0,78.0,34.0,44.0,,,https://youtube.com/watch?v=c4wMioZXbMk
2024,Estonia,5miinust & Puuluup,(nendest) narkootikumidest ei tea me (küll) midagi,20.0,37.0,4.0,33.0,,,https://youtube.com/watch?v=RSMMU2wX0Bk
2024,Finland,Windows95man,No Rules!,19.0,38.0,7.0,31.0,,,https://youtube.com/watch?v=7nidDtyS0Wo
2024,France,Slimane,Mon amour,4.0,445.0,218.0,227.0,,,https://youtube.com/watch?v=-XyLecY2JyE
2024,Georgia,Nutsa Buzaladze,Firefighter,21.0,34.0,15.0,19.0,,,https://youtube.com/watch?v=He4PGhm7jOw
2024,Germany,Isaak,Always on the Run,12.0,117.0,99.0,18.0,,,https://youtube.com/watch?v=kVOHTxFOhak
2024,Greece,Marina Satti,Zari,11.0,126.0,41.0,85.0,,,https://youtube.com/watch?v=ENb4LCeq9Lc
2024,Ireland,Bambie Thug,Doomsday Blue,6.0,278.0,142.0,136.0,,,https://youtube.com/watch?v=UMq8ofCstMQ
2024,Israel,Eden Golan,Hurricane,5.0,375.0,52.0,323.0,,,https://youtube.com/watch?v=K60BWlEhtAA
2024,Italy,Angelina Mango,La noia,7.0,268.0,164.0,104.0,,,https://youtube.com/watch?v=zp1FXHjkjpQ
2024,Latvia,Dons,Hollow,16.0,64.0,36.0,28.0,,,https://youtube.com/watch?v=kgIwQkMwURY
2024,Lithuania,Silvester Belt,Luktelk,14.0,90.0,32.0,58.0,,,https://youtube.com/watch?v=N8YuQzJLR_k
2024,Luxembourg,Tali,Fighter,13.0,103.0,83.0,20.0,,,https://youtube.com/watch?v=TCWH3Nq5y9A
2024,Norway,Gåte,Ulveham,25.0,16.0,12.0,4.0,,,https://youtube.com/watch?v=YBbL8ORqNVU
2024,Portugal,Iolanda,Grito,10.0,152.0,139.0,13.0,,,https://youtube.com/watch?v=OZn4-H6JvKU
2024,Serbia,Teya Dora,Ramonda,17.0,54.0,22.0,32.0,,,https://youtube.com/watch?v=4hUg64uIY_4
2024,Slovenia,Raiven,Veronika,23.0,27.0,15.0,12.0,,,https://youtube.com/watch?v=l86DxpRnz5M
2024,Spain,Nebulossa,Zorra,22.0,30.0,19.0,11.0,,,https://youtube.com/watch?v=FOMoQoHG5aU
2024,Sweden,Marcus & Martinus,Unforgettable,9.0,174.0,125.0,49.0,,,https://youtube.com/watch?v=DcZpzObYzxs
2024,Switzerland,Nemo,The Code,1.0,591.0,365.0,226.0,,,https://youtube.com/watch?v=CO_qJf-nW0k
2024,Ukraine,alyona alyona & Jerry Heil,Teresa & Maria,3.0,453.0,146.0,307.0,,,https://youtube.com/watch?v=d4N82wPpdg8
2024,United Kingdom,Olly Alexander,Dizzy,18.0,46.0,46.0,0.0,,,https://youtube.com/watch?v=q0_FdJqyQW0
2025,Albania,Shkodra Elektronike,Zjerm,8.0,218.0,45.0,173.0,,,https://youtube.com/watch?v=xfn6ssOf_zU
2025,Armenia,Parg,Survivor,20.0,72.0,42.0,30.0,,,https://youtube.com/watch?v=qHkZWLld-pw
2025,Austria,JJ,Wasted Love,1.0,436.0,258.0,178.0,,,https://youtube.com/watch?v=onOex2WXjbA
2025,Denmark,Sissal,Hallucination,23.0,47.0,45.0,2.0,,,https://youtube.com/watch?v=B3BdsYDnS8M
2025,Estonia,Tommy Cash,Espresso macchiato,3.0,356.0,98.0,258.0,,,https://youtube.com/watch?v=9b9Z5HSCXOI
2025,Finland,Erika Vikman,Ich komme,11.0,196.0,88.0,108.0,,,https://youtube.com/watch?v=V3vbVd1ynnk
2025,France,Louane,Maman,7.0,230.0,180.0,50.0,,,https://youtube.com/watch?v=jhqJY0ll1Wo
2025,Germany,Abor & Tynna,Baller,15.0,151.0,77.0,74.0,,,https://youtube.com/watch?v=3rrWZ6cldsA
2025,Greece,Klavdia,Asteromáta,6.0,231.0,105.0,126.0,,,https://youtube.com/watch?v=1qbWRl6h6to
2025,Iceland,Væb,Róa,25.0,33.0,0.0,33.0,,,https://youtube.com/watch?v=c73Lx1QUZZA
2025,Israel,Yuval Raphael,New Day Will Rise,2.0,357.0,60.0,297.0,,,https://youtube.com/watch?v=_7zHp51j2WM
2025,Italy,Lucio Corsi,Volevo essere un duro,5.0,256.0,159.0,97.0,,,https://youtube.com/watch?v=Vlu5XXDwHos
2025,Latvia,Tautumeitas,Bur man laimi,13.0,158.0,116.0,42.0,,,https://youtube.com/watch?v=nkvcMe3NiQ0
2025,Lithuania,Katarsis,Tavo akys,16.0,96.0,34.0,62.0,,,https://youtube.com/watch?v=3F6bwWGhm_s
2025,Luxembourg,Laura Thorn,La poupée monte le son,22.0,47.0,23.0,24.0,,,https://youtube.com/watch?v=GT7ZZBCscUg
2025,Malta,Miriana Conte,Serving,17.0,91.0,83.0,8.0,,,https://youtube.com/watch?v=povnGP6k0sI
2025,Netherlands,Claude,C'est La Vie,12.0,175.0,133.0,42.0,,,https://youtube.com/watch?v=LiTQVJwxvfE
2025,Norway,Kyle Alessandro,Lighter,18.0,89.0,22.0,67.0,,,https://youtube.com/watch?v=gQOGxx6Fk9k
2025,Poland,Justyna Steczkowska,Gaja,14.0,156.0,17.0,139.0,,,https://youtube.com/watch?v=eg5RtEX1zJ0
2025,Portugal,Napa,Deslocado,21.0,50.0,37.0,13.0,,,https://youtube.com/watch?v=waInyqBwSo0
2025,San Marino,Gabry Ponte,Tutta l'Italia,26.0,27.0,9.0,18.0,,,https://youtube.com/watch?v=hq6XIRKmA2A
2025,Spain,Melody,Esa diva,24.0,37.0,27.0,10.0,,,https://youtube.com/watch?v=IEKSa9FVLqA
2025,Sweden,KAJ,Bara bada bastu,4.0,321.0,126.0,195.0,,,https://youtube.com/watch?v=WSh7U3m9KgA
2025,Switzerland,Zoë Më,Voyage,10.0,214.0,214.0,0.0,,,https://youtube.com/watch?v=5TMc6HzimQo
2025,Ukraine,Ziferblat,Bird of Pray,9.0,218.0,60.0,158.0,,,https://youtube.com/watch?v=-DG0l8sSNJM
2025,United Kingdom,Remember Monday,What The Hell Just Happened?,19.0,88.0,88.0,0.0,,,https://youtube.com/watch?v=Ur5qRh0BaHk
