year,country,artist,song,place_final,points_jury_final,points_tele_final,yt_views,predicted_log_yt,expected_views,resid
2021,Israel,Eden Alene,Set Me Free,17.0,73.0,20.0,2374850.0,6.263560919356723,1834682.5036577946,0.11207526461276984
2021,Italy,Måneskin,Zitti e buoni,1.0,206.0,318.0,117067032.0,7.533595586001082,34166114.02862402,0.5348390218265582
2021,Lithuania,The Roop,Discoteque,8.0,55.0,165.0,10008127.0,6.667317983251133,4648555.101819334,0.3330348245302792
2021,Malta,Destiny,Je me casse,7.0,208.0,47.0,5923698.0,6.611589527853121,4088740.309655199,0.16100338150368376
2021,Moldova,Natalia Gordienko,Sugar,13.0,53.0,62.0,3799016.0,6.390897547931847,2459787.260555678,0.18877357470870582
2021,Netherlands,Jeangu Macrooy,Birth Of A New Age,23.0,11.0,0.0,1791207.0,6.2408047912806435,1741024.133801851,0.012340986507521912
2021,Norway,TIX,Fallen Angel,18.0,15.0,60.0,2608099.0,6.570801533806304,3722215.675977092,-0.15447746118749617
2021,Portugal,The Black Mamba,Love Is On My Side,12.0,126.0,27.0,1164003.0,6.236918745568845,1725515.0261365664,-0.17096464594074323
2021,Russia,Manizha,Russian Woman,9.0,104.0,100.0,9144495.0,6.789315723059932,6156242.561071207,0.17184400372690156
2021,San Marino,Senhit feat. Flo Rida,Adrenalina,22.0,37.0,13.0,3148715.0,6.3303481545264315,2139676.6855704305,0.16778519854302587
2021,Serbia,Hurricane,Loco,15.0,20.0,82.0,11310325.0,6.361242266055588,2297429.8848880264,0.6922328184170556
2021,Spain,Blas Cantó,Voy a quedarme,24.0,6.0,0.0,2497539.0,6.728594918848072,5352971.348462852,-0.3310826402273088
2021,Sweden,Tusse,Voices,14.0,46.0,63.0,3324388.0,6.369759677613357,2342931.9652751167,0.15195202836067256
2021,Switzerland,Gjon's Tears,Tout l'univers,3.0,267.0,165.0,15601056.0,6.89937444216429,7931849.07839754,0.29377955359089203
2021,Ukraine,Go_A,Shum,5.0,97.0,267.0,35965565.0,7.075883407067929,11909222.439908477,0.4800034801590307
2021,United Kingdom,James Newman,Embers,26.0,0.0,0.0,4717366.0,6.404266008090917,2536681.888307573,0.2694335644901731
2022,Armenia,Rosa Linn,Snap,20.0,40.0,21.0,4107328.0,6.337332590618572,2174365.7102534,0.27622679519152893
2022,Australia,Sheldon Riley,Not The Same,15.0,123.0,2.0,1433596.0,6.445216980680505,2787513.5084710084,-0.2887902001233025
2022,Azerbaijan,Nadir Rustamli,Fade To Black,16.0,103.0,3.0,1429380.0,6.393075029475966,2472151.2013005298,-0.23792732835164987
2022,Belgium,Jérémie Makiese,Miss You,19.0,59.0,5.0,958249.0,6.1954450249491435,1568357.3550179338,-0.213966650239251
2022,Czechia,We Are Domi,Lights Off,22.0,33.0,5.0,1583126.0,6.3099357469450625,2041435.8957101956,-0.11042026548317896
2022,Estonia,Stefan,Hope,13.0,43.0,98.0,1911967.0,6.661576404283603,4587503.454385765,-0.3800960120765673
2022,Finland,The Rasmus,Jezebel,21.0,12.0,26.0,2887977.0,6.453543418492653,2841472.246329014,0.007050311674734466
2022,France,Alvan & Ahez,Fulenn,24.0,9.0,8.0,3862536.0,6.491917570217683,3103970.3937053303,0.09495496998957442
2022,Germany,Malik Harris,Rockstars,25.0,0.0,6.0,3314635.0,6.490469954312332,3093641.2814288093,0.029965757549616612
2022,Greece,Amanda Georgiadi Tenfjord,Die Together,8.0,158.0,57.0,1867129.0,6.626670803217397,4233219.6482975725,-0.35549647881263
2022,Iceland,Systur,Með hækkandi sól,23.0,10.0,10.0,1525875.0,6.36785116836081,2332658.5290114395,-0.18433221077980555
2022,Italy,Mahmood & Blanco,Brividi,6.0,158.0,110.0,4547019.0,6.796102245612786,6253198.940245612,-0.13837547667754446
2022,Lithuania,Monika Liu,Sentimentai,14.0,35.0,93.0,2234235.0,6.434540781112581,2719823.870960076,-0.0854119302221168
2022,Moldova,Zdob și Zdub & Advahov Brothers,Trenulețul,7.0,14.0,239.0,10144140.0,7.051450670936333,11257725.914658448,-0.045235436628180636
2022,Netherlands,S10,De diepte,11.0,129.0,42.0,3851295.0,6.481212808225243,3028397.006519638,0.10439397759180391
2022,Norway,Subwoolfer,Give That Wolf a Banana,10.0,36.0,146.0,13046867.0,6.928092180961657,8474072.610646768,0.1874140542400431
2022,Poland,Ochman,River,12.0,46.0,105.0,4485193.0,6.554890364025869,3588313.3761689295,0.09689077165560178
2022,Portugal,Maro,"Saudade, saudade",9.0,171.0,36.0,3068047.0,6.325889339317523,2117821.433650657,0.16097266905078378
2022,Romania,WRS,Llámame,18.0,12.0,53.0,12401769.0,6.736055903957874,5445727.477063523,0.3574277337965155
2022,Serbia,Konstrakta,In corpore sano,5.0,87.0,225.0,7437825.0,6.945061472238824,8811735.899505923,-0.07361551634284247
2022,Spain,Chanel,SloMo,3.0,231.0,228.0,50577346.0,7.689339933053649,48903498.938172035,0.01461610334667629
2022,Sweden,Cornelia Jakobs,Hold Me Closer,4.0,258.0,180.0,7326493.0,6.92287858144066,8372951.612961824,-0.05798244243621564
2022,Switzerland,Marius Bear,Boys Do Cry,17.0,78.0,0.0,747858.0,6.255889705119965,1802559.8985801563,-0.3820705613609272
2022,Ukraine,Kalush Orchestra,Stefania,1.0,192.0,439.0,37903887.0,7.776965260166637,59836372.918008514,-0.19828151151540663
2022,United Kingdom,Sam Ryder,Space Man,2.0,283.0,183.0,12155604.0,7.227442202287152,16882711.623992596,-0.1426656589062425
2023,Albania,Albina & Familja Kelmendi,Duje,22.0,17.0,59.0,1113871.0,6.105659014901834,1275437.0097808833,-0.05882411780934316
2023,Armenia,Brunette,Future Lover,14.0,69.0,53.0,2947389.0,6.502586501082563,3181167.237727633,-0.033149042733662704
2023,Australia,Voyager,Promise,9.0,130.0,21.0,1896908.0,6.553770619377661,3579073.5181865785,-0.2757243512519034
2023,Austria,Teya & Salena,Who The Hell Is Edgar?,15.0,104.0,16.0,4565361.0,6.481742889539317,3032095.595400454,0.17773223496171298
2023,Belgium,Gustaph,Because of You,7.0,127.0,55.0,3005903.0,6.442943156545205,2772957.1371581666,0.03503180531964123
2023,Croatia,Let 3,Mama ŠČ!,13.0,11.0,112.0,4352930.0,6.55123573897896,3558244.1087167873,0.08754594429188423
2023,Cyprus,Andrew Lambrou,Break a Broken Heart,12.0,68.0,58.0,2665640.0,6.669903782222581,4676315.262227638,-0.24410228552074553
2023,Czechia,Vesna,My Sister's Crown,10.0,94.0,35.0,4057974.0,6.481949693312145,3033539.7724591494,0.12635956680935578
2023,Estonia,Alika,Bridges,8.0,146.0,22.0,2641893.0,6.468135751355923,2938568.043222026,-0.04622052719572878
2023,Finland,Käärijä,Cha,2.0,150.0,376.0,49883977.0,7.8179894690460525,65764189.03869043,-0.12002839873227789
2023,France,La Zarra,Évidemment,16.0,54.0,50.0,6130659.0,6.700383165966649,5016296.123325521,0.08712399447033725
2023,Germany,Lord Of The Lost,Blood & Glitter,26.0,3.0,15.0,3359749.0,6.56106271668818,3639675.9307843507,-0.03475588334200719
2023,Israel,Noa Kirel,Unicorn,3.0,177.0,185.0,19273582.0,6.979923968646307,9548254.113814965,0.3050384672476998
2023,Italy,Marco Mengoni,Due vite,4.0,176.0,174.0,6297498.0,7.072416855860363,11814541.056901738,-0.27324881761623043
2023,Lithuania,Monika Linkytė,Stay,11.0,81.0,46.0,1652528.0,6.321169544941073,2094930.139474046,-0.10302071814952374
2023,Moldova,Pasha Parfeni,Soarele și Luna,18.0,20.0,76.0,4196999.0,6.500533700884927,3166166.145718045,0.12240516484918995
2023,Norway,Alessandra,Queen of Kings,5.0,52.0,216.0,14653606.0,7.225258020382008,16798017.15243936,-0.059313510149558546
2023,Poland,Blanka,Solo,19.0,12.0,81.0,11338073.0,6.489798130096792,3088859.327056651,0.5647411187651725
2023,Portugal,Mimicat,Ai coração,23.0,43.0,16.0,2220390.0,6.234150011173098,1714549.433743671,0.11227925155329022
2023,Serbia,Luke Black,Samo mi se spava,24.0,14.0,16.0,1595410.0,6.193007885842882,1559580.8211643333,0.00986442403053811
2023,Slovenia,Joker Out,Carpe Diem,21.0,33.0,45.0,2944163.0,6.369709665445382,2342662.1751549114,0.0992521850709327
2023,Spain,Blanca Paloma,Eaea,17.0,95.0,5.0,3311764.0,6.859024750265007,7228109.951315809,-0.3389653693591521
2023,Sweden,Loreen,Tattoo,1.0,340.0,243.0,31579402.0,7.223576445494445,16733101.503049212,0.2758274562842544
2023,Switzerland,Remo Forrer,Watergun,20.0,61.0,31.0,1551986.0,6.397394453889895,2496861.5059074336,-0.20650665459025763
2023,Ukraine,Tvorchi,Heart of Steel,6.0,54.0,189.0,2648920.0,6.848006304550482,7047032.989043452,-0.42493746217744643
2023,United Kingdom,Mae Muller,I Wrote A Song,25.0,15.0,9.0,3212874.0,6.516800093565282,3287002.9478462404,-0.009906399503869956
2024,Armenia,Ladaniva,Jako,8.0,101.0,82.0,6693920.0,6.6582899317874435,4552919.082295219,0.16739058594955747
2024,Austria,Kaleen,We Will Rave,24.0,19.0,5.0,5646933.0,6.441408506181441,2763175.7332527624,0.3104041287481234
2024,Croatia,Baby Lasagna,Rim Tim Tagi Dim,2.0,210.0,337.0,49723890.0,7.489740818429903,30884517.326616418,0.20682427860024521
2024,Cyprus,Silia Kapsis,Liar,15.0,34.0,44.0,5089449.0,6.6410221549602575,4375444.253407659,0.06564861181411441
2024,Estonia,5miinust & Puuluup,(nendest) narkootikumidest ei tea me (küll) midagi,20.0,4.0,33.0,6172052.0,6.482523360087493,3037549.473052923,0.307906216282543
2024,Finland,Windows95man,No Rules!,19.0,7.0,31.0,11639243.0,6.542841913027539,3490132.484922194,0.5230828223023405
2024,France,Slimane,Mon amour,4.0,218.0,227.0,31773660.0,7.4497624739398125,28168419.115444336,0.052304770042266746
2024,Georgia,Nutsa Buzaladze,Firefighter,21.0,15.0,19.0,2561522.0,6.3156963903039305,2068694.6452990207,0.09280169992504916
2024,Germany,Isaak,Always on the Run,12.0,99.0,18.0,5116957.0,6.650622884532384,4473247.053449807,0.05838888289093802
2024,Greece,Marina Satti,Zari,11.0,41.0,85.0,13775061.0,6.750246142758271,5626601.307077336,0.38884738795282914
2024,Ireland,Bambie Thug,Doomsday Blue,6.0,142.0,136.0,13756657.0,6.901461871368625,7970065.147953148,0.23705103761480384
2024,Israel,Eden Golan,Hurricane,5.0,52.0,323.0,7367925.0,7.461624928077512,28948424.205244347,-0.5942797316612394
2024,Italy,Angelina Mango,La noia,7.0,164.0,104.0,11473021.0,6.850382314364271,7085692.714886947,0.20929547414559302
2024,Latvia,Dons,Hollow,16.0,36.0,28.0,1175272.0,6.260521943968001,1821889.1269132912,-0.1903835544423842
2024,Lithuania,Silvester Belt,Luktelk,14.0,32.0,58.0,7196901.0,6.379871983807728,2398125.923620445,0.4772735448003669
2024,Luxembourg,Tali,Fighter,13.0,83.0,20.0,2606988.0,6.54745848502154,3527430.6567298453,-0.13131945291181424
2024,Norway,Gåte,Ulveham,25.0,12.0,4.0,1397064.0,6.476780976636122,2997650.3628852516,-0.3315646748811485
2024,Portugal,Iolanda,Grito,10.0,139.0,13.0,1659463.0,6.30198381501725,2004397.3274966946,-0.08201624135486174
2024,Serbia,Teya Dora,Ramonda,17.0,22.0,32.0,1404799.0,6.291135909953653,1954951.150746146,-0.14352172054213508
2024,Slovenia,Raiven,Veronika,23.0,15.0,12.0,1337169.0,6.279028964134446,1901205.0715943258,-0.1528426644796932
2024,Spain,Nebulossa,Zorra,22.0,19.0,11.0,7833094.0,6.884186504963362,7659254.580412213,0.009746833303532654
2024,Sweden,Marcus & Martinus,Unforgettable,9.0,125.0,49.0,10406916.0,6.463704196361923,2908735.2656693202,0.5536178527819358
2024,Switzerland,Nemo,The Code,1.0,365.0,226.0,44884191.0,7.2732122917726505,18759112.666877706,0.3788811100225802
2024,Ukraine,alyona alyona & Jerry Heil,Teresa & Maria,3.0,146.0,307.0,23720146.0,7.352238179407803,22502883.89441045,0.022879178420982527
2024,United Kingdom,Olly Alexander,Dizzy,18.0,46.0,0.0,4014614.0,6.534465651522859,3423463.102862378,0.06917814324032623
2025,Albania,Shkodra Elektronike,Zjerm,8.0,45.0,173.0,4082002.0,6.604092846754421,4018767.179056761,0.0067803664107239925
2025,Armenia,Parg,Survivor,20.0,42.0,30.0,1881009.0,6.480868813850484,3025999.2346995473,-0.20647794034104816
2025,Austria,JJ,Wasted Love,1.0,258.0,178.0,17227352.0,7.209121127510814,16185313.93462581,0.027097400072608302
2025,Denmark,Sissal,Hallucination,23.0,45.0,2.0,2173099.0,6.239626359808376,1736306.375037244,0.09745315214230299
2025,Estonia,Tommy Cash,Espresso macchiato,3.0,98.0,258.0,46628203.0,7.375083861106359,23718316.558137283,0.2935648174357981
2025,Finland,Erika Vikman,Ich komme,11.0,88.0,108.0,4275488.0,6.893797059001141,7830636.402966517,-0.26281136716229625
2025,France,Louane,Maman,7.0,180.0,50.0,2780387.0,6.828897688354843,6743691.402453841,-0.38479243910329597
2025,Germany,Abor & Tynna,Baller,15.0,77.0,74.0,13177663.0,6.880466312901004,7593925.162711306,0.2393720839884752
2025,Greece,Klavdia,Asteromáta,6.0,105.0,126.0,6653970.0,6.9634044586996975,9191882.385246923,-0.1403236202167628
2025,Iceland,Væb,Róa,25.0,0.0,33.0,8928393.0,6.556831431962512,3604387.143736056,0.39394186633965944
2025,Israel,Yuval Raphael,New Day Will Rise,2.0,60.0,297.0,4809872.0,7.4076684041879135,25566330.816362374,-0.7255348850767325
2025,Italy,Lucio Corsi,Volevo essere un duro,5.0,159.0,97.0,3693617.0,6.8595375667642,7236649.970809648,-0.2920857063611404
2025,Latvia,Tautumeitas,Bur man laimi,13.0,116.0,42.0,2424833.0,6.382912700527415,2414975.340676776,0.0017691332661584624
2025,Lithuania,Katarsis,Tavo akys,16.0,34.0,62.0,1309318.0,6.431921875436558,2703471.996963086,-0.31487673700443075
2025,Luxembourg,Laura Thorn,La poupée monte le son,22.0,23.0,24.0,5054738.0,6.572379197004764,3735761.972812924,0.13131945291175207
2025,Malta,Miriana Conte,Serving,17.0,83.0,8.0,2274381.0,6.562434291687335,3651188.8096087277,-0.2055710730517415
2025,Netherlands,Claude,C'est La Vie,12.0,133.0,42.0,1934402.0,6.593034620284354,3917731.0650700903,-0.3064878877454724
2025,Norway,Kyle Alessandro,Lighter,18.0,22.0,67.0,11108868.0,6.745973986907912,5571523.759771036,0.29969581943161305
2025,Poland,Justyna Steczkowska,Gaja,14.0,17.0,139.0,3022978.0,6.775388514101863,5961952.534285618,-0.2949535275305193
2025,Portugal,Napa,Deslocado,21.0,37.0,13.0,1733888.0,6.294042452960942,1968078.663054006,-0.05502141204273059
2025,San Marino,Gabry Ponte,Tutta l'Italia,26.0,9.0,18.0,2810180.0,6.48296362681733,3040630.3550795517,-0.034229488227877525
2025,Spain,Melody,Esa diva,24.0,27.0,10.0,12029234.0,6.920756497740648,8332138.833742355,0.15948147538765767
2025,Sweden,KAJ,Bara bada bastu,4.0,126.0,195.0,17015715.0,7.029507135245023,10703039.673354091,0.20134306761557053
2025,Switzerland,Zoë Më,Voyage,10.0,214.0,0.0,2005852.0,6.425470415779399,2663608.645072214,-0.12317152994371483
2025,Ukraine,Ziferblat,Bird of Pray,9.0,60.0,158.0,2638045.0,6.8117598566350805,6482758.699360816,-0.39047765712867655
2025,United Kingdom,Remember Monday,What The Hell Just Happened?,19.0,88.0,0.0,2034826.0,6.58953399703054,3886279.1896746554,-0.2810067188357257
